"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4157","verify the placeholder is visible","day2","2026-07-18","passed","2026-07-18","","test_playwrightlocator","",""
"","6701","verify the placeholder is visible","day2","2026-07-18","passed","2026-07-18","","test_playwrightlocator","",""
