"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3426","Verify title of the page","day1","2026-07-18","passed","2026-07-18","","test_basic_launch","",""
"","3232","Verify Home Page URL","day1","2026-07-18","passed","2026-07-18","","test_basic_launch","",""
